,name,dosage_form,dose,atc_code,scope,dose_form,strength_size
122,Enoxaparin,Injection,1mg/kg,B01AB05,South Africa,,
128,Factor IX concentrate,Solution,40units/kg,B02BD04,South Africa,,
132,Factor VIII concentrate,Solution,30 IU/kg/dose,B02BD02,South Africa,,
137,Ferrous Fumarate,Tablet/Capsule,200mg (+-65mg),B03AA02,South Africa,,
138,Ferrous sulfate,Tablet/Capsule,170mg (+- 55mg elemental iron),B03AA07,South Africa,,
139,Folic Acid,Tablet/Capsule,5mg,B03BB01,South Africa,,
142,Haemophilus influenza vaccine type B,Injection,0.5ml,J07BB,South Africa,,
143,Hydroxyurea,,,,South Africa,,
144,Iron dextran,Injection,100-200mg,B05AA05,South Africa,,
145,Iron sucrose,Injection,200mg ,B05AA05,South Africa,,
146,Methylprednisolone acetate,Injection,1 g,H02AB04,South Africa,,
147,Polyvalent pneumococcal vaccine,Injection,0.5ml,J07AL01,South Africa,,
150,Rivaroxaban,Tablet/Capsule,15 - 20mg  ,B01AF01,South Africa,,
152,Tranexamic acid,Tablet/Capsule,25mg/kg/dose,B02AA02,South Africa,,
155,Unfractionated heparin,Injection,5000 units,B01AB01,South Africa,,
156,Vitamim B12,Injection,1mg,B03BA02,South Africa,,
157,Warfarin,Tablet/Capsule,5mg,B01AA03,South Africa,,
161,Albendazole,Solution,7.5mg/kg/dose ,P02CA03,South Africa,,
164,Chlorhexidine 0.2%,Gargle,10ml,A01AB03,South Africa,,
168,Colestyramine,Oral Powder,240mg/kg/day ,C10AC01,South Africa,,
169,Dextrose 10%,Injection,10ml/kg (Mix Dextrose 50% with 8ml/kg water for injection to make Dextrose 10%),B05BA03,South Africa,,
176,Dextrose 50%,Injection,,B05XA03,South Africa,,
177,Diazepam,Injection,0.2mg/kg,N05BA01,South Africa,,
178,Folic acid,Tablet/capsule/granules,2.5mg,B03BB01,South Africa,,
183,Hydrochlorothiazide,Tablet/capsule/granules,1mg/kg/dose  ,C03AA03,South Africa,,
184,Ibuprofen,Solution,5-10mg/kg/dose ,M01AE01,South Africa,,
186,Iron (elemental),Solution,2mg/kg/dose,B03AA,South Africa,,
188,Ispaghula husk,Oral Powder,1.75-3.5g,A06AC01,South Africa,,
191,Lidocaine (Lignocaine) 2%,Cream/ointment/gel,3mg/kg/dose,N01BB02,South Africa,,
192,Liquid Paraffin,Solution,1-3ml/kg/day,A06AA01,South Africa,,
193,Magnesium Sulphate 50%,Injection,0.32ml/kg,B05XA05,South Africa,,
194,Mebendazole,Solution,100mg ,P02CA01,South Africa,,
201,Midazolam,Injection,0.1mg/kg,N05CD08,South Africa,,
202,Multivitamin,Solution,5ml ,,South Africa,,
204,Octreotide,Injection,1-2 mcg/kg,H01CB01,South Africa,,
213,Pancreatic enzymes (lipase/amylase/protease),Tablet/capsule/granules,,,South Africa,,
219,Phenobarbitone,Injection,20mg/kg,N03AA02,South Africa,,
222,Phosphate-containing enema,Solution,0.32-1.0mmol/kg,A06AG01,South Africa,,
223,"Phosphate-containing enema (sodium phosphate 6 g, sodium biphosphate 16 g/100 mL)",Solution,32ml (2-5 years); 64ml (5-11 years),A06AG,South Africa,,
224,Polyethylene glycol 59g/l + sodium sulphate,Oral Powder,10-25ml/kg/hour,A06AD15,South Africa,,
228,Potassium Chloride,Solution,25-50mg/kg/dose,B05XA01,South Africa,,
236,Sodium bicarbonate 4.2%,Solution,0.3 x base deficit x weight,B05XA02,South Africa,,
241,Trace Element Mix ,Solution,2.5ml,A11AA04,South Africa,,
244,Vitamin A (retinol),Capsule,50 000 IU (<6 months); 100 000 IU (6-11 months); 200 000 IU (12 months - 5 years),A11CA,South Africa,,
245,Vitamin D,Solution,5000 IU ,A11CC,South Africa,,
251,Zinc,Solution,10mg/day if <10kg; 20mg/day if >10kg,A12CB,South Africa,,
259,Amethocaine,Cream,0.01,,South Africa,,
261,Bismuth subgallate compound,Ointment,,C05AX00,South Africa,,
264,Hyoscine butylbromide,Tablet/Capsule,10mg  ,M01AE01,South Africa,,
283,Sennosides A and B,Tablet/Capsule,13.5 mg,A06AB06,South Africa,,
287,Zinc (elemental),Solution,10 mg,A12CB01 ,South Africa,,
290,Ampicillin,Injection,50mg/kg/dose,J01CA01,South Africa,,
297,Cefepime,Injection,2g,J01DE01,South Africa,,
298,Cefotaxime,Injection,50mg/kg/dose,J01DD01,South Africa,,
314,Gentamicin,Injection,6mg/kg,J01GB03,South Africa,,
317,Imipenem/cilastatin,Injection,1000/1000mg,J01DH51,South Africa,,
318,Meropenem,Injection,1g,J01DH02,South Africa,,
326,Piperacillin/tazobactam,Injection,4.5g,J01CA12,South Africa,,
327,Trimethoprim/Sulfamethoxazole (Cotrimoxazole),Solution,5mg/kg/dose ,J01EE01,South Africa,,
340,Adenosine,Injection,6mg,C01EB10,South Africa,,
343,Alteplase,Injection,15mg; 0.75mg/kg; 0.5mg/kg,B01AD02,South Africa,,
346,Amiodarone,Tablet/Capsule,200mg,C01BD01,South Africa,,
349,Amlodipine,Tablet/Capsule,5mg,C08CA01,South Africa,,
350,Atenolol,Tablet/Capsule,50mg,C07AB03,South Africa,,
352,Atorvastatin,Tablet/Capsule,10mg,C10AA05,South Africa,,
353,Atropine,Injection,0.6-1.2mg,A03BA01,South Africa,,
354,Carvedilol,Tablet/Capsule,3.125-25mg,C07AG02,South Africa,,
356,Clopidogrel,Tablet/Capsule,75mg,B01AC04,South Africa,,
358,Digoxin,Tablet/Capsule,0.125mg,C01AA05,South Africa,,
359,Enalapril,Tablet/Capsule,2.5-10mg,C09AA02,South Africa,,
364,Glyceryl trinitrate,Injection,5-10mcg/minute,C01DA02,South Africa,,
369,Influenza vaccine,Injection,0.5ml,J07BB,South Africa,,
370,Isosorbide dinitrate,Tablet/Capsule,20-30mg,C01DA08,South Africa,,
372,Isosorbide mononitrate,Tablet/Capsule,10-20mg,C01DA14,South Africa,,
373,Labetalol,Injection,1-2mg/kg,C07AG01,South Africa,,
375,Losartan,Tablet/Capsule,50-100mg,C09CA01,South Africa,,
381,Rifampicin,Tablet/Capsule,7.5mg/kg,J04AB02,South Africa,,
382,Rosuvastatin,Tablet/Capsule,10mg,C10AA07,South Africa,,
383,Simvastatin,Tablet/Capsule,10mg,C10AA01,South Africa,,
387,Streptokinase,Injection,1.5 MU,B01AD01,South Africa,,
392,Verapamil,Tablet/Capsule,40-120mg,C08DA01,South Africa,,
393,"Combined oral contraceptive, low dose",Tablet/capsule/granules,,G03AA,South Africa,,
402,Ferrous gluconate (250mg/5ml = 30mg elemental iron/5ml),Solution,3 mg/kg/dose  (elemental),B03AA,South Africa,,
403,Ferrous gluconate (350mg/5ml = 40mg elemental iron/5ml),Elixir,3 mg/kg/dose  (elemental),B03AA03,South Africa,,
404,Ferrous lactate (25mg/ml = 25mg elemental iron/ ml),Solution,3 mg/kg/dose  (elemental),B03AA,South Africa,,
411,"Haemophilus influenzae, type B (Hib) booster vaccine ",Injection,0.5 mL,J07AG,South Africa,,
436,Meningococcal conjugate vaccine,Injection,0.5 mL,J07AH,South Africa,,
437,Methylprednisolone,Injection,30 mg/kg/dose (maximum 1g),H02AB04,South Africa,,
447,Pneumococcus conjugate vaccine (PCV-13),Injection,0.5 mL,J07AL02,South Africa,,
449,Pneumococcus conjugate vaccine (PCV-13) ,Injection,,J07AL02,South Africa,,
450,Pneumococcus polysaccharide (PPV-23) vaccine,Injection,,J07AL01,South Africa,,
465,Vitamin B12,Injection,100 mcg,B03BA,South Africa,,
470,Ferrous fumarate,Tablet/Capsule,200mg-400mg,B03AA02 ,South Africa,,
471,Ferrous gluconate,Solution,2.5mL,B03AA03 ,South Africa,,
472,Ferrous lactate,Solution,0.6mL,,South Africa,,
475,Glucose,Solution,10%. 10mL/kg,V06DC01,South Africa,,
477,Iron,Solution,1-2mg/kg/dose,B03A,South Africa,,
481,Nicotinamide,Solution,50mg,A11HA01,South Africa,,
483,Pyridoxine,Solution,12.5mg,A11HA02 ,South Africa,,
495,Benzathine benzylpenicillin,Injection,1.2 MU,J01CE08,South Africa,,
496,Benzylpenicillin (Penicillin G) ,Injection,5 MU,J01CE01,South Africa,,
498,Cefazolin,Injection,2g,J01DB04,South Africa,,
504,Clindamycin,Injection,600mg,J01FF01,South Africa,,
506,Cloxacillin,Injection,3g,J01CF02,South Africa,,
515,Phenoxymethylpenicillin,Tablet/Capsule,250mg,J01CE02,South Africa,,
528,Aqueous Cream,Cream,,,South Africa,,
529,Betamethasone  ,Ointment,0.1%,D07AC01,South Africa,,
533,Clotrimazole,Ointment,0.01,D01AC01,South Africa,,
534,Coal tar ,Ointment,0.05,,South Africa,,
536,Cyproterone acetate + ethinyl estradiol,Tablet/Capsule,2mg/35mcg,G03HB01,South Africa,,
537,Emulsifying ointment,Ointment,,,South Africa,,
538,Fluconazole,Tablet/Capsule,200mg,J02AC01,South Africa,,
541,Podophyllin ,Ointment,0.2,D06BB04,South Africa,,
542,Podophyllotoxin,Solution,0.5%,D06BB04,South Africa,,
543,Povidone iodine,Cream,0.05,D08AG02,South Africa,,
544,Selenium sulfide,Suspension,2.5%,D01AE13,South Africa,,
545,Sodium chloride,Solution,0.9%,,South Africa,,
556,Captopril,Tablet/capsule/granules,0.15 - 0.3 mg/kg/dose (maximum = 2mg/kg/dose),C09AA01,South Africa,,
583,Ketamine,,,C01EB10,South Africa,,
585,Lidocaine (lignocaine) 1%,Injection,refer to STGs ,C01BB01,South Africa,,
590,Phenylephrine,Injection,,C01CA06,South Africa,,
620,Benzathine Benzylpenicillin,Injection,600 000IU ,J01CE08,South Africa,,
626,Cefalexin,Tablet/Capsule,500mg,J01DB01,South Africa,,
633,Flucloxacillin,Tablet/Capsule,500mg,J01CF05,South Africa,,
640,Anti-D Immunoglobulin,Injection,0.1mg/kg,J06BB01,South Africa,,
644,Citalopram,Tablet/Capsule,10mg,N06AB04,South Africa,,
645,Clomifene,Tablet/Capsule,50mg,G03GB02,South Africa,,
646,Combined oral contraceptive,Tablet/Capsule,1 tablet,,South Africa,,
648,Conjugated estrogens,Tablet/Capsule,0.625mg,G03CA57,South Africa,,
649,Cu T380A,IUCD,,G02BA02,South Africa,,
650,Ethinylestradiol,Tablet/Capsule,50mcg,G03CA01,South Africa,,
651,Fluoxetine,Tablet/Capsule,20mg,N06AB03,South Africa,,
652,Letrozole,Tablet/Capsule,2.5mg,L02BG04,South Africa,,
653,Levonorgestrel,Tablet/Capsule,1.5mg,G03AD01,South Africa,,
655,Medroxyprogesterone,Injection,150mg,G03AC06,South Africa,,
658,Methotrexate,Injection,50mg/m2,L04AX03,South Africa,,
661,Mifepristone,Tablet/Capsule,200mg,G03XB01,South Africa,,
662,Misoprostol,Tablet/Capsule,400mcg,G02AD06,South Africa,,
673,Norethisternone,Tablet/Capsule,5mg,G03AC01,South Africa,,
675,Oxytocin,Injection,20 millunits/ml,H01BB02,South Africa,,
676,Tranexamic Acid,Tablet/Capsule,1g,B02AA02,South Africa,,
678,Benzoyl peroxide 5%,Cream/ointment/gel,Quantity dependant on size of affected area,D10AE01,South Africa,,
679,Betamethasone 0.1%,Cream/ointment/gel,Quantity dependant on size of affected area,D07AC01,South Africa,,
680,Betamethasone 1%,Solution,Quantity dependant on size of affected area,D07AC01,South Africa,,
681,Calamine,Lotion,Apply ,D02AB,South Africa,,
691,Clotrimazole 1%,Cream/ointment/gel,Quantity dependant on size of affected area,D01AC01,South Africa,,
697,Hydrocortisone 1%,Cream/ointment/gel,Quantity dependant on size of affected area,D07AA02,South Africa,,
701,Podophyllin resin 20%,Cream/ointment/gel,Apply ,D06BB04,South Africa,,
705,Salicylic Acid 2%,Cream/ointment/gel,Quantity dependant on size of affected area,D02AF,South Africa,,
706,Salicylic Acid 25%,Cream/ointment/gel,Apply ,D02AF,South Africa,,
707,Sunscreen ,Cream/ointment/gel/lotion,Quantity dependant on size of affected area,,South Africa,,
708,Tretinoin 0.05%,Cream/ointment/gel,Quantity dependant on size of affected area,D10AD01,South Africa,,
709,White soft paraffin ,Cream/ointment/gel,Quantity dependant on size of affected area,,South Africa,,
716,Benzyl benzoate ,Lotion,0.25,P03AX01,South Africa,,
736,Emulsifying Ointment,Ointment,,,South Africa,,
744,Permethrin ,Lotion,0.05,P03AC04,South Africa,,
747,Salicylic acid ,Solution,15-30%,D01AE12,South Africa,,
748,Salicylic Acid ,Solution,0.02,D01AE12,South Africa,,
750,Tincture of iodine,Cream,,,South Africa,,
751,Tretinoin,Ointment,,D01AD01,South Africa,,
752,Zinc and castor oil ,Ointment,,D02AB,South Africa,,
753,Zinc Oxide,Ointment,,D02AB,South Africa,,
763,Doxycycline,Tablet/capsule/granules,100mg,J01AA02,South Africa,,
781,Abacavir,Tablet/Capsule,600mg,J05AF06,South Africa,,
783,Anti-D immunoglobulin,Injection,50mcg,J06BB01,South Africa,,
788,"Calcium, elemental",Tablet/Capsule,500mg,A12AA04,South Africa,,
789,Clonazepam,Injection,2mg,N03AE01,South Africa,,
790,Dexamethasone,Injection,8mg,H02AB02,South Africa,,
794,Dinoprostone,Gel,1mg,G02AD02,South Africa,,
796,Dolutegravir,Tablet/Capsule,50mg,J05AJ03,South Africa,,
797,Ergometrine,Injection,0.5mg,G02AB03,South Africa,,
803,Hydralazine,Tablet/Capsule,25mg,C02DB02,South Africa,,
805,Indomethacin,Tablet/Capsule,25-50mg,M01AB01,South Africa,,
806,Insulin,Injection,0.1 units/kg,A10AD,South Africa,,
808,"Insulin, biphasic",Injection,0.5 units/kg,A10AD01 ,South Africa,,
812,Lorazepam,Injection,4mg,N05BA06,South Africa,,
817,Metformin,Tablet/Capsule,500mg,A10BA02,South Africa,,
818,Methyldopa,Tablet/Capsule,250-750mg,C02AB01,South Africa,,
823,Nevirapine,Tablet/Capsule,200mg,J05AG01,South Africa,,
824,Nifedipine,Tablet/Capsule,10mg,C08CA05,South Africa,,
832,Progesterone,Pessary,200mg,G03DA04,South Africa,,
839,"Tenofovir disoproxil, lamivudine, dolutegravir",Tablet/Capsule,300/300/50 mg,J05AR27,South Africa,,
843,Vitamin B complex,Injection,10ml,A11EA,South Africa,,
845,Alfacalcidol,Tablet/capsule/granules,0.25mcg,A11CC03,South Africa,,
847,Calcium Carbonate (420mg = 168mg elemental calcium),Chewable tablet ,1 - 4 tablets (equivalent to 0.168-0.672g elemental calcium),A12AA04,South Africa,,
850,Cyclophosphamide,Solution,2mg/kg/dose,L01AA01,South Africa,,
857,Erythropoietin,Injection,75units/kg/week ,,South Africa,,
869,"Insulin, soluble ",Injection,0.1 units/kg,B05BA03,South Africa,,
876,"Multivitamin (with pyridoxine, other B vitamins, vitamin C 30 mg
and vitamin D 400 IU.)",Solution,5mL,,South Africa,,
877,Pneumococcal polysaccharide vaccine (PPV),Injection,0.5mL,C09AA02,South Africa,,
888,Sodium Bicarbonate ,Solution,1mmol/kg/dose ,B05CB04,South Africa,,
893,Sodium polystyrene sulfonate,Oral Powder,1g/kg/dose  ,V03AE01,South Africa,,
898,Varicella-zoster vaccine,Injection,0.5mL,C09AA02,South Africa,,
900,"Abacavir, lamivudine, dolutegravir ",Tablet/Capsule,600/300mg/50mg,J05AR13,South Africa,,
904,BCG (Bacillus Calmette-Guerin) vaccine,Injection,,L03AX03,South Africa,,
906,bOPV (Oral polio vaccine),Solution,,J07BF04,South Africa,,
907,Calcium Gluconate,Solution,10%,B05XA19,South Africa,,
909,Chloramphenicol 1%,Ointment,1%,S02AA01 ,South Africa,,
912,Dextrose,Solution,2.5–5 mL/kg of 10% dextrose  (250–500 mg/kg) ,,South Africa,,
916,Estradiol valerate,Tablet/Capsule,1 –2 mg,G03CA03 ,South Africa,,
917,Estradiol valerate/cyproterone acetate,Tablet/Capsule,2 mg for 11 days. 2mg/1mg for 10 days,G03HB01 ,South Africa,,
918,Estradiol/norethisterone acetate,Tablet/Capsule,1mg/0.5mg or 2mg/1mg,G03FA01 ,South Africa,,
919,"Ethinylestradiol, levonorgestrel",Tablet/Capsule,,G03AB03 ,South Africa,,
946,Naloxone,Injection,0.1 mg/kg,A06AH04 ,South Africa,,
958,"Tenofovir disoproxil fumarate, lamivudine, dolutegravir",Tablet/Capsule,300/300/50mg,J05AR27,South Africa,,
960,Vitamin K (phytomenadione),Injection,1 mg,B02BA01,South Africa,,
970,Fosfomycin,Tablet/Capsule,3g,J01XX01,South Africa,,
972,Nitrofurantoin,Tablet/Capsule,100mg,J01XE01,South Africa,,
975,Procaine Penicillin,Injection,50 000 units/kg,J01CE09,South Africa,,
976,Trimethoprim/Sulfamethoxazole (cotrimoxazole),Tablet/Capsule,160/800 mg,J01EE01,South Africa,,
977,Aluminium hydroxide,Tablet/Capsule,300mg/5ml,A02AB01,South Africa,,
978,Calciferol,Tablet/Capsule,50 000IU,A11CC05,South Africa,,
979,Calcitriol,Tablet/Capsule,0.25-4mcg,A11CC04,South Africa,,
983,Diclofenac,Injection,75mg,M01AB05,South Africa,,
984,Doxazosin,Tablet/Capsule,4mg,C02CA04,South Africa,,
986,Erythropoietin alpha or beta,Injection,40-50 IU/kg/dose,B03XA01,South Africa,,
995,Oxybutynin,Tablet/Capsule,2.5-5mg,G04BD04,South Africa,,
1005,Testosterone  ,,See section 8.3,G03BA03 ,South Africa,,
1006,Tramadol,Injection,50-100mg,N02AX02,South Africa,,
1013,Carbimazole,Tablet/capsule/granules,0.5mg/kg,H03BB01,South Africa,,
1014,Desmopressin,Tablet/capsule/granules,50-300mcg/day (maximum dose = 1200mcg/day) ,H01BA02,South Africa,,
1020,Dextrose 5%/Sodium chloride (0.9% or 0.45%),Solution,100ml/kg/24 hours ,B05XA03,South Africa,,
1024,Diazoxide,Tablet/capsule/granules,5mg/kg/day (up to 15mg/kg/day),V03AH01,South Africa,,
1026,Fludrocortisone acetate,Tablet/capsule/granules,5mcg/kg/day (range = 50 - 200mcg daily) ,H02AA02,South Africa,,
1027,Glucagon,Injection,0.5mg ,H04AA01,South Africa,,
1043,"Insulin, short acting",Injection,0.06 - 0.12 units/kg,A10A,South Africa,,
1046,Levothyroxine (T4),Tablet/capsule/granules,10-15 mcg/kg,H03AA01,South Africa,,
1056,Potassium Chloride 15%,Injection,20ml (40mmol) ,,South Africa,,
1058,Sodium Chloride,Solution,1 - 2g/daily,A12CA01,South Africa,,
1059,Sodium Chloride 0.45%,Solution,1L,,South Africa,,
1063,Sodium Chloride 5%,Solution,90ml,,South Africa,,
1070,Etonorgestrel,Implant,68mg,G03AC08,South Africa,,
1096,Alendronic Acid,Tablet/Capsule,70mg,M05BA04,South Africa,,
1098,Bezafibrate,Tablet/Capsule,400mg,C10AB02,South Africa,,
1099,Bromocriptine,Tablet/Capsule,1.25mg,N04BC01,South Africa,,
1113,Fludrocortisone,Tablet/Capsule,50-100mcg,H02AA02,South Africa,,
1114,Glibenclamide,Tablet/Capsule,2.5 - 15mg,A10BB01,South Africa,,
1115,Glimepiride,Tablet/Capsule,1-8mg,A10BB12,South Africa,,
1121,"Insulin, intermediate acting",Injection,0.6 units/kg,A10AC,South Africa,,
1122,"Insulin, intermediate to long acting",Injection,10 units,A10AC,South Africa,,
1127,Lugol's Iodine,Solution,10 drops in milk,H03CA ,South Africa,,
1136,Testosterone cypionate,Injection,200-300mg,G03BA03,South Africa,,
1137,Vitamin D (calciferol),Tablet/Capsule,800 units,A11CC05,South Africa,,
1138,Zoledronic Acid,Injection,4mg,M05BA08,South Africa,,
1139,Flucytosine,Tablet/capsule/granules,100mg/kg/day,J02AX01,South Africa,,
1157,Artemether/lumefantrine,Solution,1 - 4 tablets ,P01BF01,South Africa,,
1159,Artesunate,Injection,2.4mg/kg,P01BE03,South Africa,,
1170,Chlorhexidine 0.05%,Solution,Flush wound ,D08AG02,South Africa,,
1171,Chloroquine,Solution,5mg base/kg,P01BA01,South Africa,,
1185,Equine-derived Rabies Immunoglobulin (ERIG),Injection,40 IU/kg,J06BB05,South Africa,,
1186,Ethambutol,Tablet/capsule/granules,20-25mg/kg,J04AK02,South Africa,,
1187,Ceftazidime,Injection,50mg/kg/dose ,J01DD02,South Africa,,
1200,Ganciclovir,Injection,5mg/kg over 1 hour ,J05AB06,South Africa,,
1201,Human normal immunoglobulin,Injection,,J06BA01,South Africa,,
1204,Human-derived Rabies Immunoglobulin (HRIG),Injection,20 IU/kg,J06BB05,South Africa,,
1205,Mannitol,Injection,250mg/kg,B05BC01,South Africa,,
1211,Miconazole,Cream/ointment/gel,Apply ,G01AF04,South Africa,,
1212,Miconazole 2%,Cream/gel,Apply ,D01AC02,South Africa,,
1213,Nystatin 10 000IU/ml,Solution,1mL,A07AA02,South Africa,,
1217,Povidone iodine 10%,Cream/ointment/gel,Apply ,D08AG02,South Africa,,
1218,Praziquantel,Solution,40mg/kg  ,P02BA01,South Africa,,
1222,Primaquine,Solution,0.25mg base/kg/day,P01BA03,South Africa,,
1224,Quinine,Solution,10mg/kg/dose ,P01BC01,South Africa,,
1226,Rabies vaccine,Injection,1 amp/dose,J07BG01,South Africa,,
1237,Tetanus Immunoglobulin,Injection,3 000 IU,J06BB02,South Africa,,
1243,Valganciclovir,Solution,16mg/kg,J05AB14,South Africa,,
1245,Varicella-zoster immunoglobulin,Injection,1ml (100 units),J06BB03,South Africa,,
1265,Clarithromycin,Tablet/capsule/granules,7.5mg/kg/dose ,J01FA09,South Africa,,
1289,Amitriptyline,Tablet/Capsule,10mg,N06AA09,South Africa,,
1308,"Abacavir, Lamivudine, Lopinavir/ritonavir",Tablet/capsule/granules,30/15/40/10mg,J05AR,South Africa,,
1309,"Atazanavir, ritonavir",Tablet/capsule/granules,by weight band,J05AR23,South Africa,,
1310,Copper IUCD,Intra-uterine device ,380mm2,,South Africa,,
1322,Efavirenz,Tablet/capsule/granules,by weight band,J05AG03,South Africa,,
1323,Isoniazid,Tablet/capsule/granules,10mg/kg/dose (maximum dose = 300mg daily) ,J04AC01,South Africa,,
